Lp;Nazwa_funduszu;Forma_prawna;Rok_uruchomienia;Jak_czesto_wycena_SFIO;Udzial_akcji;Oplata_za_zarzadzanie;TER;Oplaty_biezace;Typ;Pierwsza_wplata;Nastepna_wplata;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Aktywa;Oplata_za_nabycie;Oplata_za_umorzenie;Oplata_za_wynik;Oplata_za_wynik_2;Polityka_inwestycyjna_(min._akcji);Inne;Inne_2;Inne_3;Nazwa_IZFiA;TFI
104;Millennium Akcji (Millennium FIO);FIO;2002;;85.55;4;4.19;4.18;akcji;500;500;90% WIG20;10% WIBID 6M;#NAZWA?;;;;;;281.9;2;0;;;65%;;;;Millennium FIO S Akcji;Millenium
340;Millennium Cyklu Koniunkturalnego (Millennium FIO);FIO;2002;;37.4;4;4.19;4.19;mieszane;500;500;nie ma;;;;;;;;214;2;0;;;20%;;;;Millennium FIO S Cyklu Koniunkturalnego;Millenium
341;Millennium Depozytowy (Millennium FIO);FIO;2002;;;1;1.19;1.05;pieniê¿ne;500;500;100% WIBID 6M;#NAZWA?;;;;;;;1422.2;1;0;;;;;;;Millennium FIO S Depozytowy;Millenium
105;Millennium Dynamicznych Spó³ek (Millennium FIO);FIO;2007;;92.15;4;4.26;4.26;akcji;500;500;45% mWIG40;45% sWIG80;10% WIBID 6M;#NAZWA?;;;;;115.5;2;0;;;60%;;;;Millennium FIO S Dynamicznych Spó³ek;Millenium
106;Millennium Globalny Akcji (Millennium SFIO);SFIO;2005;codziennie;0;3.5;3.75;3.78;akcji;500;500;nie ma;;;;;;;;41.6;2;0;;;70%;;w inne fundusze;;Millennium SFIO S Globalny Akcji;Millenium
342;Millennium Globalny Stabilnego Wzrostu (Millennium SFIO);SFIO;2005;codziennie;0;3.5;3.61;3.64;mieszane;500;500;nie ma;;;;;;;;131;2;0;;;;;w inne fundusze;;Millennium SFIO S Globalny Stabilnego Wzrostu;Millenium
343;Millennium Globalny Strategii Alternatywnych (Millennium SFIO);SFIO;2005;codziennie;0;2.5;3.06;3.12;mieszane;500;500;nie ma;;;;;;;;17.6;2;0;;;;;w inne fundusze;;Millennium SFIO S Globalny Strategii Alternatywnych;Millenium
344;Millennium Instrumentów D³u¿nych (Millennium FIO);SFIO;2014;codziennie;;1.9;1.9;1.9;d³u¿ne;500;500;nie ma;;;;;;;;94.3;1;0;;;;;w inne fundusze;;Millennium FIO S Instrumentów D³u¿nych;Millenium
345;Millennium Konserwatywny (Millennium SFIO);SFIO;2016;codziennie;;2.5;;2.5;mieszane;500;500;nie ma;;;;;;;;12.9;1;0;;;;;w inne fundusze;;Millennium SFIO S Konserwatywny;Millenium
346;Millennium Obligacji Korporacyjnych (Millennium SFIO);SFIO;2005;codziennie;;1.7;1.71;1.72;d³u¿ne;500;500;nie ma;;;;;;;;1834.4;1;0;;;;;;;Millennium FIO S Obligacji Korporacyjnych;Millenium
347;Millennium Stabilnego Wzrostu (Millennium FIO);FIO;2004;;36.65;3;3.16;3.18;mieszane;500;500;30% WIG;50% Citigroup Poland Government Bond Index All Maturities Local Terms;20% WIBID 6M;#NAZWA?;;;;;147.5;2;0;;;;;;;Millennium FIO S Stabilnego Wzrostu;Millenium
107;MS Akcji (MS Parasolowy FIO);FIO;2017;;;3.4;0;3.4;akcji;100;50;90% WIG;10% WIBID 3M;;;;;;;;4;0;10%;ponad benchmark;70%;;;;MS Akci;MS
348;MS Obligacji (MS Parasolowy FIO);FIO;2017;;;1.4;;1.4;d³u¿ne;100;50;100% WIBID 12M;;;;;;;;;2;0;10%;ponad benchmark;;;;;MS Oblgacji;MS
349;MS P³ynnoœciowy (MS Parasolowy FIO);FIO;2017;;;0.9;;0.9;pieniê¿ne;100;50;100% WIBID 3M;;;;;;;;;1;0;10%;ponad benchmark;;;;;MS P³ynoœciowy;MS
110;NN (L) Ameryki £aciñskiej (NN SFIO);SFIO;2009;codziennie;0;2.5;2.5;2.98;akcji;200;50;nie ma;;;;;;;;25.7;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) Latin America Equity;;NN (L) Ameryki £aciñskiej;NN
350;NN (L) Depozytowy (NN SFIO);SFIO;2011;codziennie;;0.75;0.75;0.75;pieniê¿ne;200;50;100% WIBID 6M;;;;;;;;167.5;0;0;;;;;min. 70% w d³u¿ne;;NN (L) Depozytowy;NN
351;NN (L) Dynamiczny Globalnej Alokacji (NN SFIO);SFIO;2010;codziennie;0;2.5;2.47;2.89;absolutnej stopy zwrotu;200;50;nie ma;;;;;;;;48.3;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) First Class Multi Asset Premium;;NN (L) Dynamiczny Globalnej Alokacji;NN
111;NN (L) Europejski Spó³ek Dywidendowych (NN SFIO);SFIO;2009;codziennie;0;2.5;2.48;2.93;akcji;200;50;nie ma;;;;;;;;204.6;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) European High Dividend;;NN (L) Europejski Spó³ek Dywidendowych;NN
352;NN (L) Globalny D³ugu Korporacyjnego (NN SFIO);SFIO;2009;codziennie;;1.8;1.78;2.18;d³u¿ne;200;50;nie ma;;;;;;;;598.5;2;0;;;;ozn spada do 0.2% przy 1 000 000;min. 70% w NN (L) Global High Yield;;NN (L) Globalny D³ugu Korporacyjnego;NN
112;NN (L) Globalny Spó³ek Dywidendowych (NN SFIO);SFIO;2009;codziennie;0;2.5;2.49;2.93;akcji;200;50;nie ma;;;;;;;;679.8;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) Global High Dividend;;NN (L) Globalny Spó³ek Dywidendowych;NN
113;NN (L) Japonia (NN SFIO);SFIO;2009;codziennie;0;2.5;2.5;3.2;akcji;200;50;nie ma;;;;;;;;203.2;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) Japan Equity;;NN (L) Japonia;NN
114;NN (L) Nowej Azji (NN SFIO);SFIO;2009;codziennie;0;2.5;2.38;2.98;akcji;200;50;nie ma;;;;;;;;31.5;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) Asia Income;;NN (L) Nowej Azji;NN
353;NN (L) Obligacji Rynków Wschodz¹cych (Waluta Lokalna) (NN SFIO);SFIO;2012;codziennie;;1.8;1.79;2.17;d³u¿ne;200;50;nie ma;;;;;;;;139.9;2;0;;;;ozn spada do 0.2% przy 1 000 000;min. 70% w NN (L) Emerging Markets Debt (Local Bond);;NN (L) Obligacji Rynków Wschodzacych (Waluta Lokalna);NN
354;NN (L) Obligacyjny Globalnej Alokacji (NN SFIO);SFIO;2012;codziennie;;1.4;1.52;1.68;d³u¿ne;200;50;nie ma;;;;;;;;11.4;2;0;;;;ozn spada do 0.2% przy 1 000 000;min. 70% w NN (L) Global Bond Opportunities;;NN (L) Obligacyjny Globalnej Alokacji;NN
115;NN (L) Spó³ek Dywidendowych Rynków Wschodz¹cych (NN SFIO);SFIO;2009;codziennie;0;2.5;2.41;2.97;akcji;200;50;nie ma;;;;;;;;113.5;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) Emerging Markets High Dividend;;NN (L) Spó³ek Dywidendowych Rynków Wschodz¹cych;NN
116;NN (L) Spó³ek Dywidendowych USA (NN SFIO);SFIO;2009;codziennie;0;2.5;2.46;2.91;akcji;200;50;nie ma;;;;;;;;71;5;0;;;;ozn spada do 0.3% przy 1 000 000;min. 70% w NN (L) US High Dividend;;NN (L) Spó³ek Dywidendowych USA;NN
355;NN (L) Stabilny Globalnej Alokacji (NN SFIO);SFIO;2014;codziennie;0;1.5;1.5;1.91;absolutnej stopy zwrotu;200;50;nie ma;;;;;;;;408.6;2;0;;;;ozn spada do 0.2% przy 1 000 000;min. 70% w NN (L) First Class Multi Asset;;NN (L) Stabilny Globalnej Alokacji;NN
356;NN (L) Stabilny Globalnej Alokacji EUR (EUR) (NN SFIO);SFIO;2014;codziennie;0;;1.51;2.09;absolutnej stopy zwrotu;200;50;nie ma;;;;;;;;35.1;2;0;;;;ozn spada do 0.2% przy 1 000 000;min. 70% w NN (L) First Class Multi Asset;;NN (L) Stabilny Globalnej Alokacji EUR;NN
108;NN Akcji (NN FIO);FIO;1998;;96.4;3.5;3.23;3.5;akcji;200;50;100% WIG;;;;;;;;1051.1;4;0;;;70%;ozn spada do 0.3% przy 1 000 000;;;NN (PL) Akcji;NN
109;NN Akcji Œrodkowoeuropejskich (NN FIO);FIO;2008;;97.15;3.5;4.32;3.51;akcji;200;50;40% CECE Composite Index Total Return (CECENTRE);45% BIST Dividend (XU Dividend);15% ATX Net Total Return (ATXNTR);;;;;;191.2;4;0;;;70%;ozn spada do 0.3% przy 1 000 000;;;NN (PL) Akcji Œrodkowoeuropejskich;NN
357;NN Gotówkowy (NN FIO);FIO;1999;;;0.75;0.75;0.75;pieniê¿ne;200;50;100% WIBID 6M;;;;;;;;767.3;0;0;;;;;;;NN (PL) Gotówkowy;NN
358;NN Lokacyjny Plus (NN FIO);FIO;2008;;;1;1;1.01;pieniê¿ne;200;50;100% WIBID 12M;;;;;;;;810;0;0;;;;;;;NN (L) Lokacyjny Plus;NN
359;NN Obligacji (NN FIO);FIO;1999;;;1.25;1.19;1.25;d³u¿ne;200;50;100% Merrill Lynch G0PL;;;;;;;;729.6;1;0;;;;ozn spada do 0.2% przy 1 000 000;;;NN (PL) Obligacji;NN
360;NN Perspektywa 2020 (NN Perspektywa SFIO);SFIO;2012;codziennie;0;1.3;1.19;1.59;mieszane;200;50;nie ma;;;;;;;;49.5;3;0;;;;ozn spada do 0.2% przy 1 000 000;w inne fundusze NN;;NN Subfundusz Perspektywa 2020;NN
361;NN Perspektywa 2025 (NN Perspektywa SFIO);SFIO;2012;codziennie;0;1.5;1.38;1.8;mieszane;200;50;nie ma;;;;;;;;75;3;0;;;;ozn spada do 0.2% przy 1 000 000;w inne fundusze NN;;NN Subfundusz Perspektywa 2025;NN
362;NN Perspektywa 2030 (NN Perspektywa SFIO);SFIO;2012;codziennie;0;1.7;1.48;2.02;mieszane;200;50;nie ma;;;;;;;;59.1;3;0;;;;ozn spada do 0.2% przy 1 000 000;w inne fundusze NN;;NN Subfundusz Perspektywa 2030;NN
363;NN Perspektywa 2035 (NN Perspektywa SFIO);SFIO;2012;codziennie;0;1.9;1.56;2.23;mieszane;200;50;nie ma;;;;;;;;52.7;3;0;;;;ozn spada do 0.2% przy 1 000 000;w inne fundusze NN;;NN Subfundusz Perspektywa 2035;NN
364;NN Perspektywa 2040 (NN Perspektywa SFIO);SFIO;2012;codziennie;0;2.1;1.69;2.44;mieszane;200;50;nie ma;;;;;;;;39.1;3;0;;;;ozn spada do 0.2% przy 1 000 000;w inne fundusze NN;;NN Subfundusz Perspektywa 2040;NN
365;NN Perspektywa 2045 (NN Perspektywa SFIO);SFIO;2012;codziennie;0;2.1;1.79;2.45;mieszane;200;50;nie ma;;;;;;;;46.7;3;0;;;;ozn spada do 0.2% przy 1 000 000;w inne fundusze NN;;NN Subfundusz Perspektywa 2045;NN
117;NN SFIO Akcji 2;SFIO;2001;codziennie;0;0.8;0.62;0.8;akcji;2000000;10000;100% WIG;;;;;;;;1827.7;5;0;;;70%;ozn spada do 0% przy 5 000 000;;;NN SFIO Akcji 2;NN
366;NN SFIO Obligacji 2;SFIO;2001;codziennie;;0.53;0.23;0.53;d³u¿ne;2000000;10000;100% MLG0PL;;;;;;;;2074.8;2;0;;;;ozn spada do 0% przy 5 000 000;;;NN SFIO Obligacji 2;NN
367;NN Stabilnego Wzrostu (NN FIO);FIO;2000;;30.47;2.5;2.17;2.51;mieszane;200;50;30% MLG0PL;35% MLGFPL;30% WIG;;;;;;1242.7;3;0;;;30%;ozn spada do 0.2% przy 1 000 000;;;NN (PL) Stabilnego Wzrostu;NN
118;NN Œrednich i Ma³ych Spó³ek (NN FIO);FIO;2001;;90.83;3.5;3.54;3.51;akcji;200;50;60% mWIG40;40% sWIG80;;;;;;;325.7;4;0;;;90%;ozn spada do 0.3% przy 1 000 000;;;NN (PL) Œrednich i Ma³ych Spó³ek;NN
368;NN Zrównowa¿ony (NN FIO);FIO;1998;;51.2;3;2.53;3.01;mieszane;200;50;50% WIG;25% MLG0PL;25% MLGFPL;;;;;;680.9;4;0;;;;ozn spada do 0.2% przy 1 000 000;;;NN (PL) Zrównowa¿ony;NN
119;Noble Fund Africa and Frontier (Noble Funds SFIO);SFIO;2010;codziennie;44.18;4;4.48;5.38;akcji;500;100;nie ma;;;;;;;;10.3;4;0;;;;ozn spada do 0.75% przy 1 000 000;w fundusze;;Noble Fund Africa and Frontier;Noble
121;Noble Fund Akcji (Noble Funds FIO);SFIO;2006;codziennie;92.91;4;4.13;4.05;akcji;500;100;90% WIG;10% WIBID O/N;;;;;;;412.6;4;0;;;70%;ozn spada do 1% przy 500 000;;;Noble Fund Akcji;Noble
120;Noble Fund Akcji Ma³ych i Œrednich Spó³ek (Noble Funds FIO);SFIO;2007;codziennie;91.8;4;4.19;4.05;akcji;500;100;60% mWIG40;20% WIBID O/N;10% mDAX (EUR);10% Russel 2000 (USD);;;;;301;4;0;20%;ponad benchmark;60%;ozn spada do 0.75% przy 1 000 000;;;Noble Fund Akcji Ma³ych i Œrednich Spó³ek;Noble
369;Noble Fund Global Return (Noble Funds FIO);FIO;2009;;32.43;4;4.62;4.1;absolutnej stopy zwrotu;500;100;nie ma;;;;;;;;45.6;4;0;10%;ponad 10%;;ozn spada do 0.75% przy 1 000 000;;;Noble Fund Global Return;Noble
370;Noble Fund Mieszany (Noble Funds FIO);FIO;2006;;47.17;4;4.16;4.06;mieszane;500;100;50% WIG;50% WIBID O/N;;;;;;;100.4;4;0;;;20%;ozn spada do 0.75% przy 1 000 000;;;Noble Fund Mieszany;Noble
371;Noble Fund Obligacji (Noble Funds FIO);FIO;2014;;;1.5;1.53;1.53;d³u¿ne;500;100;100% Treasury BondSpot Poland Index;;;;;;;;79.2;1;0;;;;ozn spada do 0.25% przy 1 000 000;;;Noble Fund Obligacji;Noble
372;Noble Fund Pieniê¿ny (Noble Funds FIO);FIO;2006;;;1;1.53;1.2;pieniê¿ne;500;100;100% WIBID O/N;;;;;;;;74.9;0;0;;;;;;;Noble Fund Pieniê¿ny;Noble
373;Noble Fund Stabilnego Wzrostu Plus (Noble Funds FIO);FIO;2007;;45.06;3.5;3.56;3.56;mieszane;500;100;25% WIG;75% WIBID O/N;;;;;;;161.9;3;0;;;50%;ozn spada do 0.5% przy 1 000 000;;;Noble Fund Stabilnego Wzrostu Plus;Noble
374;Noble Fund Timingowy (Noble Funds FIO);FIO;2008;;31.47;4;4.28;4.08;mieszane;500;100;nie ma;;;;;;;;88.9;4;0;10%;ponad 10%;;ozn spada do 0.75% przy 1 000 000;;;Noble Fund Timingowy;Noble
122;Novo Akcji (Novo FIO);FIO;1998;;67.38;4;4.12;4.23;akcji;100;50;100% WIG;#NAZWA?;;;;;;;114.8;4;0;;;;ozn spada do 0.9% przy 500 000;;;Novo FIO (Akcji);Novo
375;Novo Aktywnej Alokacji (Novo FIO);FIO;2009;;32.52;3.6;3.63;3.83;mieszane;100;50;nie ma;;;;;;;;33.5;3;0;;;;ozn spada do 0.7% przy 500 000;;;Novo FIO (Aktywnej Alokacji);Novo
376;Novo Gotówkowy (Novo FIO);FIO;2008;;;1;1;1.02;pieniê¿ne;100;50;100% WIBID 6M;#NAZWA?;;;;;;;146.2;0;0;;;;ozn spada do 0% przy 200 000;;;Novo FIO (Gotówkowy);Novo
379;Novo Obligacji Przedsiêbiorstw (Novo FIO);FIO;1998;;;1.9;1.9;2.18;d³u¿ne;100;50;100% Bloomberg/EFFAS Bond Indices Poland Liquid 1-3 Yr;#NAZWA?;;;;;;;321.2;0;0;;;;;;;Novo FIO (Obligacji Przedsiêbiorstw);Novo
380;Novo Papierów D³u¿nych (Novo FIO);FIO;2001;;;1.5;1.51;1.97;d³u¿ne;100;50;100% Bloomberg/EFFAS Bond Indices Poland Liquid All > 1Yr;#NAZWA?;;;;;;;35.5;1;0;;;;ozn spada do 0% przy 200 000;;;Novo FIO (Papierów D³u¿nych);Novo
381;Novo Stabilnego Wzrostu (Novo FIO);FIO;1999;;33.18;3;3.02;3.23;mieszane;100;50;25% WIG;75% Bloomberg/EFFAS Bond Indices Poland Liquid 1-3 Yr;#NAZWA?;;;;;;52.5;2;0;;;;ozn spada do 0.25% przy 500 000;;;Novo FIO (Stabilnego Wzrostu);Novo
382;Novo Zrównowa¿onego Wzrostu (Novo FIO);FIO;1998;;54.6;4;4.05;4.39;mieszane;100;50;50% WIG;50% Bloomberg/EFFAS Bond Indices Poland Liquid 1-3 Yr;#NAZWA?;;;;;;66.5;2;0;;;;ozn spada do 0.4% przy 500 000;;;Novo FIO (Zrównowa¿onego Wzrostu);Novo
124;Open Finance Akcji (Open Finance FIO);FIO;2012;;77;4;5.48;5.35;akcji;500;100;70% mWIG40;20% sWIG80;10% Citibank Polish Bond Government Index (1-3);;;;;;11.5;4;0;20%;ponad benchmark;70%;ozn spada do 0.75% przy 1 000 000;;;Open Finance Akcji;Open Fnance
123;Open Finance Akcji Ma³ych i Œrednich Spó³ek (Open Finance FIO);FIO;2012;;83.35;4;5.14;5.02;akcji;500;100;90% WIG;10% Citibank Polish Bond Government Index (1-3);;;;;;;6.5;4;0;20%;ponad benchmark;70%;ozn spada do 0.75% przy 1 000 000;;;Open Finance Akcji Ma³ych i Œrednich Spó³ek;Open Fnance
383;Open Finance Aktywnej Alokacji (Open Finance FIO);FIO;2012;;34.7;4;5.28;4.76;mieszane;500;100;0;;;;;;;;13.1;4;0;15%;ponad benchmark;;ozn spada do 0.75% przy 1 000 000;;;Open Finance Aktywnej Alokacji;Open Fnance
384;Open Finance Obligacji (Open Finance FIO);FIO;2012;;;2;2.26;2.32;d³u¿ne;500;100;100% Citigroup Poland Government Index;;;;;;;;38.1;1;0;;;;ozn spada do 0.25% przy 1 000 000;;;Open Finance Obligacji;Open Fnance
385;Open Finance Pieniê¿ny (Open Finance FIO);FIO;2012;;;1.2;1.47;1.47;d³u¿ne;500;100;100% WIBID 3M;#NAZWA?;;;;;;;55.3;0;0;;;;;;;Open Finance Pieniê¿ny;Open Fnance
386;Open Finance Stabilnego Wzrostu (Open Finance FIO);FIO;2012;;7.76;3.5;4.01;4.01;mieszane;500;100;25% WIG;75% Citigroup Poland Government Index (1-3);;;;;;;19.2;3;0;;;;ozn spada do 0.5% przy 1 000 000;;;Open Finance Stabilnego Wzrostu;Open Fnance
387;Opera Alfa-plus.pl (Opera SFIO);SFIO;2009;tygodniowo;30.68;0;0.36;0.53;absolutnej stopy zwrotu;160000;10000;nie ma;;;;;;;;32.2;2;1;25%;wzrostu w ci¹gu roku;;;;;OPERA SFIO (Alfa-plus.pl);Opera
388;Opera Avista.pl (Opera FIO);FIO;2007;;;0.3;0.72;0.93;d³u¿ne;500;500;nie ma;;;;;;;;24.1;0;0;;;;;;;OPERA FIO (Avista.pl);Opera
389;Opera Avista-plus.pl (Opera SFIO);SFIO;2009;tygodniowo;;0;1.02;1.09;d³u¿ne;160000;10000;nie ma;;;;;;;;2;1;1;10%;wzrostu w ci¹gu roku;;;;;OPERA SFIO (Avista-plus.pl);Opera
390;Opera Equilibrium.pl (Opera FIO);FIO;2008;;40.5;1.75;2.52;4.07;mieszane;500;500;nie ma;;;;;;;;6.4;1;0;10%;wzrostu w ci¹gu roku;max. 70%;;;;OPERA FIO (Equilibrium.pl);Opera
391;Opera NGO SFIO;SFIO;2006;tygodniowo;2.11;1.5;2.54;4.55;mieszane;50000;10000;nie ma;;;;;;;;15.5;0;0;10%;wzrostu w ci¹gu roku;max. 60%;;;;OPERA NGO SFIO;Opera
392;Opera Pecunia.pl (Opera FIO);FIO;2010;;;0.3;0.86;1.04;pieniê¿ne;500;500;nie ma;;;;;;;;12.2;0;0;;;;;;;OPERA FIO (Pecunia.pl);Opera
393;Opera Tutus-plus (Opera SFIO);SFIO;2011;tygodniowo;;0.17;0.44;2.01;d³u¿ne;160000;10000;nie ma;;;;;;;;328.8;2;1;4.88%;wzrostu w ci¹gu roku;;;;;OPERA SFIO (Tutus-plus);Opera
125;Opera Universa.pl (Opera FIO);FIO;2007;;52.8;2.75;3.62;4.11;akcji;500;500;nie ma;;;;;;;;6.6;1;0;10%;wzrostu w ci¹gu roku;;;;;OPERA FIO (Universa.pl);Opera
126;Optimum Akcji (Optimum FIO);FIO;2013;;52.23;3.95;4.42;4.41;akcji;100;50;30% S&P500;20% WIG20;20% MSCI Emerging Markets;15% EuroStoxx600;10% WIBID 3M;5% NIKKEI225;#NAZWA?;;147.6;4;0;;;70%;;;;OPTIMUM FIO (Akcji);Optimum
394;Optimum Gotówkowy (Optimum FIO);FIO;2013;;;1;1.8;1.88;pieniê¿ne;100;50;100% Bloomberg Poland Local Sovereign Index 1 to 5 Year;#NAZWA?;;;;;;;26.6;0;0;;;;;;;OPTIMUM FIO (Gotówkowy);Optimum
395;Optimum Obligacji (Optimum FIO);FIO;2013;;;1.75;2.19;2.33;d³u¿ne;100;50;100% Bloomberg/EFFAS Bond Indices Poland Liquid 1-5 Yr;#NAZWA?;;;;;;;51.8;2;0;;;;;;;OPTIMUM FIO (Obligacji);Optimum
133;Pioneer Akcji - Aktywna Selekcja (Pioneer FIO);FIO;2010;;93.77;4;3.78;3.68;akcji;1000;100;90% WIG;10% WIBID 1M;;;;;;;40.8;5;0;;;70%;ozn spada do 0.5% przy 1 000 000;;;Pioneer Akcji - Aktywna Selekcja;Pioneer
127;Pioneer Akcji Amerykañskich (Pioneer Walutowy FIO);FIO;2000;;0;3.5;3.36;4.24;akcji;1000;500;50% MSCI USA TR;15% MSCI US Mid Cap Value;15% MSCI US Prime Market Value Index;15% MSCI US Prime Market Growth Index;5% Citigroup USD 3-Month Eurodeposit;;;;311.6;5;0;;;;ozn spada do 0.5% przy 1 000 000;;;Pioneer Akcji Amerykañskich;Pioneer
128;Pioneer Akcji Europejskich (Pioneer Walutowy FIO);FIO;2004;;0;3.5;3.4;4.26;akcji;1000;500;65% MSCI Europe;15% MSCI Europe Value;15% MSCI Europe Small Cap;5% Citigroup EUR 3-Month Eurodeposit;;;;;359.1;5;0;;;;ozn spada do 0.5% przy 1 000 000;;;Pioneer Akcji Europejskich;Pioneer
129;Pioneer Akcji Ma³ych i Œrednich Spó³ek Rynków Rozwiniêtych (Pioneer Funduszy Globalnych SFIO);SFIO;2007;codziennie;0;3.5;3.52;4.29;akcji;1000;500;45% MSCI Europe Small Cap;30% MSCI Europe;20% MSCI US Mid Cap Value;5% WIBID;;;;;147.9;5;0;;;;ozn spada do 0.5% przy 1 000 000;g³ównie w inne fundusze Pioneer;;Pioneer Akcji MiŒ Spó³ek Rynków Rozwiniêtych;Pioneer
130;Pioneer Akcji Polskich (Pioneer FIO);FIO;1995;;87.96;4;3.82;4.02;akcji;1000;100;80% WIG;10% MSCI Europe;10% WIBID 1M;;;;;;675;5;0;;;80%;ozn spada do 0.5% przy 1 000 000;;;Pioneer Akcji Polskich;Pioneer
131;Pioneer Akcji Rynków Dalekiego Wschodu (Pioneer Funduszy Globalnych SFIO);SFIO;2007;codziennie;0;3.5;3.56;4.42;akcji;1000;500;35% MSCI China 10/40 Index;25% MSCI Japan Index;35% MSCI AC Asia ex. Japan Index;5% WIBID;;;;;34.6;5;0;;;;ozn spada do 0.5% przy 1 000 000;g³ównie w inne fundusze Pioneer;;Pioneer Akcji Rynków Dalekiego Wschodu;Pioneer
132;Pioneer Akcji Rynków Wschodz¹cych (Pioneer Funduszy Globalnych SFIO);SFIO;2007;codziennie;0;3.5;3.51;4.41;akcji;1000;500;45% MSCI Emerging Markets Index;35% MSCI Emerging Markets Europe & Middle East Index;15% MSCI China 10/40 Index;5% WIBID;;;;;268.8;5;0;;;;ozn spada do 0.5% przy 1 000 000;;;Pioneer Akcji Rynków Wschodz¹cych;Pioneer
396;Pioneer Alternatywny - Absolutnej Stopy Zwrotu (Pioneer Funduszy Globalnych SFIO);SFIO;2015;codziennie;0;1.5;0.83;0.96;absolutnej stopy zwrotu;1000;500;nie ma;;;;;;;;105;3;0;;;;ozn spada do 0.4% przy 1 000 000;100% w fundusze Pioneer;;Pioneer Alternatywny - Absolutnej Stopy Zwrotu;Pioneer
397;Pioneer Alternatywny - Globalnego Dochodu (Pioneer Funduszy Globalnych SFIO);SFIO;2015;codziennie;0;2.5;0.23;1.27;mieszane;1000;500;nie ma;;;;;;;;64.9;3;0;;;;ozn spada do 0.4% przy 1 000 000;min. 70% w fundusze Pioneer;;Pioneer Alternatywny - Globalnego Dochodu;Pioneer
398;Pioneer Dochodu i Wzrostu Regionu Pacyfiku (Pioneer Funduszy Globalnych SFIO);SFIO;2006;codziennie;0;2.5;2.53;3.32;mieszane;1000;500;25% MSCI AC Asia ex. Japan Index;35% MSCI Japan Index;35% Citigroup US Broad Investment Grade Index;5% WIBID;;;;;75.4;4;0;;;;ozn spada do 0.5% przy 1 000 000;g³ównie w inne fundusze Pioneer;;Pioneer Dochodu i Wzrostu Regionu Pacyfiku;Pioneer
399;Pioneer Dochodu i Wzrostu Rynku Chiñskiego (Pioneer Funduszy Globalnych SFIO);SFIO;2006;codziennie;0;2.5;2.52;3.25;mieszane;1000;500;45% MSCI China 10/40 Index;45% Citigroup US Broad Investment Grade Index;5% Citigroup Global Emerging Market Sovereign Bond Index;5% WIBID;;;;;157.2;4;0;;;;ozn spada do 0.5% przy 1 000 000;g³ównie w inne fundusze Pioneer;;Pioneer Dochodu i Wzrostu Rynku Chiñskiego;Pioneer
400;Pioneer Dochodu USD (Pioneer Funduszy Globalnych SFIO);SFIO;2016;codziennie;0;3.5;1.42;;mieszane;1000;500;nie ma;;;;;;;;4;0;0;;;;;100% w fundusze Pioneer;;Pioneer Dochodu USD;Pioneer
134;Pioneer Dynamicznych Spó³ek (Pioneer FIO);FIO;2012;;92.2;3.75;3.8;3.79;akcji;1000;500;45% sWIG80;35% mWIG40;10% MSCI ACWI SMID Cap Index;10% WIBID 1M;;;;;218.9;5;0;;;50%;ozn spada do 0.5% przy 1 000 000;;;Pioneer Dynamicznych Spó³ek;Pioneer
401;Pioneer Elastycznego Inwestowania (Pioneer Strategie Funduszowe SFIO);SFIO;2011;codziennie;0;1.7;2.09;2.16;mieszane;1000;100;nie ma;;;;;;;;7;3;0;;;;ozn spada do 0.5% przy 1 000 000;;;Pioneer Elastycznego Inwestowania;Pioneer
402;Pioneer Gotówkowy (Pioneer Funduszy Globalnych SFIO);SFIO;2009;codziennie;;0.6;0.6;0.6;pieniê¿ne;1000;500;100% WIBID 1M;;;;;;;;3013.1;0;0;;;;ozn spada do 0.5% przy 1 000 000;;;Pioneer Gotówkowy;Pioneer
135;Pioneer Ma³ych i Œrednich Spó³ek Rynku Polskiego (Pioneer FIO);FIO;2005;;93.57;4;4.05;4.03;akcji;1000;100;70% mWIG40;20% sWIG80;10% WIBID 1M;;;;;;241.2;5;0;;;67%;ozn spada do 0.5% przy 1 000 000;;;Pioneer MiŒ Spó³ek Rynku Polskiego;Pioneer
403;Pioneer Obligacji - Dynamiczna Alokacja 2 (Pioneer FIO);FIO;2012;;;1.6;1.57;1.61;d³u¿ne;1000;100;75% Citigroup Poland Government Bond Index;25% WIBID O/N;;;;;;;413.2;2;0;;;;ozn spada do 0.2% przy 1 000 000;;;Pioneer Obligacji - Dynamiczna Alokacja 2;Pioneer
404;Pioneer Obligacji - Dynamiczna Alokacja FIO;FIO;2010;codziennie;;1.6;1.6;1.61;d³u¿ne;1000;100; 75% CPGBI;25% WIBID;;;;;;;631.3;2;0;;;;ozn spada do 0.2% przy 1 000 000;;;Pioneer Obligacji - Dynamiczna Alokacja FIO;Pioneer
